Year	Quarter	Month	DayofMonth	DayOfWeek	FlightDate	Marketing_Airline_Network	Operated_or_Branded_Code_Share_Partners	DOT_ID_Marketing_Airline	IATA_Code_Marketing_Airline	Flight_Number_Marketing_Airline	Originally_Scheduled_Code_Share_Airline	DOT_ID_Originally_Scheduled_Code_Share_Airline	IATA_Code_Originally_Scheduled_Code_Share_Airline	Flight_Num_Originally_Scheduled_Code_Share_Airline	Operating_Airline 	DOT_ID_Operating_Airline	IATA_Code_Operating_Airline	Tail_Number	Flight_Number_Operating_Airline	OriginAirportID	OriginAirportSeqID	OriginCityMarketID	Origin	OriginCityName	OriginState	OriginStateFips	OriginStateName	OriginWac	DestAirportID	DestAirportSeqID	DestCityMarketID	Dest	DestCityName	DestState	DestStateFips	DestStateName	DestWac	CRSDepTime	DepTime	DepDelay	DepDelayMinutes	DepDel15	DepartureDelayGroups	DepTimeBlk	TaxiOut	WheelsOff	WheelsOn	TaxiIn	CRSArrTime	ArrTime	ArrDelay	ArrDelayMinutes	ArrDel15	ArrivalDelayGroups	ArrTimeBlk	Cancelled	CancellationCode	Diverted	CRSElapsedTime	ActualElapsedTime	AirTime	Flights	Distance	DistanceGroup	CarrierDelay	WeatherDelay	NASDelay	SecurityDelay	LateAircraftDelay	FirstDepTime	TotalAddGTime	LongestAddGTime	DivAirportLandings
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1610					DL	19790	DL	N853DN	1610	14869	1486903	34614	SLC	Salt Lake City, UT	UT	49	Utah	87	12889	1288903	32211	LAS	Las Vegas, NV	NV	32	Nevada	85	805	804	-1	0	0	-1	0800-0859	18	822	818	5	842	823	-19	0	0	-2	0800-0859	0		0	97	79	56	1	368	2									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1611					DL	19790	DL	N991AT	1611	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	11057	1105703	31057	CLT	Charlotte, NC	NC	37	North Carolina	36	1223	1219	-4	0	0	-1	1200-1259	15	1234	1316	5	1332	1321	-11	0	0	-1	1300-1359	0		0	69	62	42	1	226	1									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1611					DL	19790	DL	N991AT	1611	11057	1105703	31057	CLT	Charlotte, NC	NC	37	North Carolina	36	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	1427	1424	-3	0	0	-1	1400-1459	14	1438	1527	8	1544	1535	-9	0	0	-1	1500-1559	0		0	77	71	49	1	226	1									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1612					DL	19790	DL	N926AT	1612	10868	1086803	30868	CAE	Columbia, SC	SC	45	South Carolina	37	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	531	525	-6	0	0	-1	0001-0559	11	536	615	6	640	621	-19	0	0	-2	0600-0659	0		0	69	56	39	1	192	1									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1613					DL	19790	DL	N805DN	1613	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	11618	1161802	31703	EWR	Newark, NJ	NJ	34	New Jersey	21	1852	1853	1	1	0	0	1800-1859	11	1904	2037	4	2056	2041	-15	0	0	-1	2000-2059	0		0	124	108	93	1	746	3									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1614					DL	19790	DL	N981AT	1614	11618	1161802	31703	EWR	Newark, NJ	NJ	34	New Jersey	21	13487	1348702	31650	MSP	Minneapolis, MN	MN	27	Minnesota	63	1525	1522	-3	0	0	-1	1500-1559	14	1536	1705	5	1728	1710	-18	0	0	-2	1700-1759	0		0	183	168	149	1	1008	5									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1615					DL	19790	DL	N6707A	1615	14492	1449202	34492	RDU	Raleigh/Durham, NC	NC	37	North Carolina	36	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	900	858	-2	0	0	-1	0900-0959	13	911	1012	6	1030	1018	-12	0	0	-1	1000-1059	0		0	90	80	61	1	356	2									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1616					DL	19790	DL	N360DN	1616	10792	1079206	30792	BUF	Buffalo, NY	NY	36	New York	22	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	625	625	0	0	0	0	0600-0659	41	706	858	10	847	908	21	21	1	1	0800-0859	0		0	142	163	112	1	712	3	0	0	21	0	0				0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1617					DL	19790	DL	N179DN	1617	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	11193	1119302	33105	CVG	Cincinnati, OH	KY	21	Kentucky	52	2055	2053	-2	0	0	-1	2000-2059	15	2108	2204	7	2220	2211	-9	0	0	-1	2200-2259	0		0	85	78	56	1	373	2									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1618					DL	19790	DL	N320US	1618	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	15096	1509602	35096	SYR	Syracuse, NY	NY	36	New York	22	2146	2143	-3	0	0	-1	2100-2159	11	2154	2335	5	2355	2340	-15	0	0	-1	2300-2359	0		0	129	117	101	1	794	4									0
